species,decimalLongitude,decimalLatitude
Gentianella campestris,17.91213,59.73876
Gentianella campestris,16.41501,60.5477
Gentianella campestris,16.43164,60.54191
Gentianella campestris,17.08571,60.48762
Gentianella campestris,17.09114,60.5054
Gentianella campestris,11.67849,57.69803
Gentianella campestris,16.86276,58.94791
Gentianella campestris,16.8503,58.9449
Gentianella campestris,14.27946,63.67788
Gentianella campestris,12.22811,65.465335
Gentianella campestris,12.227392,65.458854
Gentianella campestris,16.584382,68.580166
Gentianella campestris,12.210872,65.462932
Gentianella campestris,11.117164,62.39875
Gentianella campestris,11.031851,62.564703
Gentianella campestris,18.70071,60.1194
Gentianella campestris,14.4594,67.22846
Gentianella campestris,14.37609,67.137553
Gentianella campestris,13.386578,66.837446
Gentianella campestris,14.01002,63.38388
Gentianella campestris,13.99928,63.38438
Gentianella campestris,14.714674,67.273466
Gentianella campestris,14.763057,67.026466
Gentianella campestris,11.734,62.8625
Gentianella campestris,11.7434,59.2986
Gentianella campestris,12.1192,63.9495
Gentianella campestris,14.57359,57.75081
Gentianella campestris,14.54523,57.62827
Gentianella campestris,14.57834,57.6775
Gentianella campestris,14.56514,57.66666
Gentianella campestris,14.65408,57.68313
Gentianella campestris,14.53192,57.66486
Gentianella campestris,14.8538,57.87297
Gentianella campestris,14.59902,57.87028
Gentianella campestris,14.34949,57.61545
Gentianella campestris,15.01777,57.72694
Gentianella campestris,13.92743,57.90932
Gentianella campestris,15.25885,60.97453
Gentianella campestris,13.93683,63.39143
Gentianella campestris,13.80899,63.5709
Gentianella campestris,14.86598,63.27253
Gentianella campestris,14.81122,63.1296
Gentianella campestris,14.35269,63.02004
Gentianella campestris,13.81462,63.50185
Gentianella campestris,14.1671,63.4614
Gentianella campestris,12.93046,63.1287
Gentianella campestris,14.75725,63.14125
Gentianella campestris,13.85949,63.49135
Gentianella campestris,14.17374,63.70763
Gentianella campestris,14.84881,59.9605
Gentianella campestris,14.84129,59.95777
Gentianella campestris,16.5456,68.9944
Gentianella campestris,14.08672,57.5869
Gentianella campestris,13.92549,63.49008
Gentianella campestris,15.132414,66.947736
Gentianella campestris,12.486528,65.795305
Gentianella campestris,12.674699,66.039196
Gentianella campestris,12.922069,66.013343
Gentianella campestris,12.66175,66.0333
Gentianella campestris,12.769427,65.971974
Gentianella campestris,11.900876,63.112718
Gentianella campestris,11.63581,62.97325
Gentianella campestris,11.646292,62.980256
Gentianella campestris,11.754974,62.968551
Gentianella campestris,11.841276,62.936662
Gentianella campestris,11.668767,62.987279
Gentianella campestris,15.07994,62.95346
Gentianella campestris,16.37718,57.59288
Gentianella campestris,16.0125,62.23862
Gentianella campestris,16.64673,60.01445
Gentianella campestris,15.67002,59.7214
Gentianella campestris,16.48847,62.66309
Gentianella campestris,15.22291,58.06638
Gentianella campestris,18.2598,62.84256
Gentianella campestris,14.37601,59.05267
Gentianella campestris,11.91012,57.84503
Gentianella campestris,15.08865,63.32008
Gentianella campestris,15.44149,58.07017
Gentianella campestris,15.13703,58.92929
Gentianella campestris,15.74668,57.13714
Gentianella campestris,15.24213,58.09221
Gentianella campestris,15.60211,57.97946
Gentianella campestris,15.94507,58.07882
Gentianella campestris,16.25236,59.05032
Gentianella campestris,14.39475,63.26555
Gentianella campestris,16.66554,59.34472
Gentianella campestris,14.61619,63.01591
Gentianella campestris,16.03358,57.59938
Gentianella campestris,15.68495,57.82759
Gentianella campestris,16.22961,56.90655
Gentianella campestris,18.40623,62.87459
Gentianella campestris,15.47275,57.79646
Gentianella campestris,15.02677,57.51362
Gentianella campestris,14.15404,59.81984
Gentianella campestris,14.37006,59.7833
Gentianella campestris,16.48364,59.91264
Gentianella campestris,13.8748,57.56403
Gentianella campestris,16.00417,59.71853
Gentianella campestris,11.25643,58.55245
Gentianella campestris,11.16746,58.80542
Gentianella campestris,11.19123,58.7493
Gentianella campestris,11.26633,58.56763
Gentianella campestris,11.55861,58.04181
Gentianella campestris,14.71785,63.67686
Gentianella campestris,14.02446,63.38165
Gentianella campestris,18.76418,60.05456
Gentianella campestris,13.98287,63.39659
Gentianella campestris,15.69517,57.40657
Gentianella campestris,11.96975,58.03617
Gentianella campestris,16.07486,59.80197
Gentianella campestris,12.51637,59.94922
Gentianella campestris,12.63796,59.89222
Gentianella campestris,12.50646,59.99479
Gentianella campestris,12.61106,59.82147
Gentianella campestris,15.45311,58.08596
Gentianella campestris,12.58026,58.91214
Gentianella campestris,13.44313,57.87151
Gentianella campestris,18.75151,59.26005
Gentianella campestris,14.64886,57.57484
Gentianella campestris,13.62886,58.19205
Gentianella campestris,15.33653,57.39288
Gentianella campestris,12.70357,60.0157
Gentianella campestris,13.61969,63.26518
Gentianella campestris,14.699169,67.257531
Gentianella campestris,14.721663,67.26116
Gentianella campestris,11.135337,64.836377
Gentianella campestris,12.992555,67.884118
Gentianella campestris,11.974336,65.802514
Gentianella campestris,12.032807,65.770183
Gentianella campestris,13.226129,66.674005
Gentianella campestris,15.421405,68.001093
Gentianella campestris,14.766057,67.26298
Gentianella campestris,14.722265,67.152846
Gentianella campestris,15.628728,68.174988
Gentianella campestris,14.633502,67.395431
Gentianella campestris,11.634009,62.855662
Gentianella campestris,14.887653,67.720946
Gentianella campestris,11.491896,59.816317
Gentianella campestris,14.635389,67.413993
Gentianella campestris,12.982444,66.578315
Gentianella campestris,15.05624,67.271745
Gentianella campestris,12.61769,62.53365
Gentianella campestris,13.001218,66.569276
Gentianella campestris,14.505043,67.035293
Gentianella campestris,14.387624,66.863989
Gentianella campestris,15.57898,58.57328
Gentianella campestris,12.115,65.4345
Gentianella campestris,11.417,64.1448
Gentianella campestris,14.50925,57.64794
Gentianella campestris,14.39893,57.6274
Gentianella campestris,14.55952,57.74784
Gentianella campestris,14.34769,57.92254
Gentianella campestris,14.52992,57.71944
Gentianella campestris,15.56266,57.60141
Gentianella campestris,15.12832,57.67437
Gentianella campestris,14.9721,57.91799
Gentianella campestris,11.086943,62.553943
Gentianella campestris,11.032197,62.521374
Gentianella campestris,11.086182,62.544472
Gentianella campestris,11.105433,62.609383
Gentianella campestris,11.131698,62.51577
Gentianella campestris,14.81175,57.86029
Gentianella campestris,11.05,62.5655
Gentianella campestris,17.07,60.48
Gentianella campestris,14.703,63.18628
Gentianella campestris,11.331932,63.381016
Gentianella campestris,11.213693,62.543301
Gentianella campestris,11.226672,62.349857
Gentianella campestris,11.097686,62.434608
Gentianella campestris,11.190196,62.410341
Gentianella campestris,11.20933,62.402792
Gentianella campestris,11.127744,62.410689
Gentianella campestris,11.126068,62.415456
Gentianella campestris,11.121076,62.403194
Gentianella campestris,11.188561,62.415781
Gentianella campestris,11.433619,62.461621
Gentianella campestris,11.394496,62.473964
Gentianella campestris,11.405197,62.465877
Gentianella campestris,11.437378,62.405885
Gentianella campestris,11.450147,62.404358
Gentianella campestris,11.305437,62.481804
Gentianella campestris,11.326674,62.479862
Gentianella campestris,11.297701,62.485182
Gentianella campestris,11.412171,62.440037
Gentianella campestris,11.417484,62.43382
Gentianella campestris,11.456867,62.389745
Gentianella campestris,11.387108,62.453373
Gentianella campestris,11.336966,62.469516
Gentianella campestris,11.271668,62.494831
Gentianella campestris,11.355909,62.471586
Gentianella campestris,11.459689,62.394428
Gentianella campestris,11.493104,62.398055
Gentianella campestris,11.784695,65.121082
Gentianella campestris,10.974694,62.575309
Gentianella campestris,14.36286,62.47661
Gentianella campestris,11.210165,62.354763
Gentianella campestris,11.227562,62.342829
Gentianella campestris,17.97258,59.7456
Gentianella campestris,18.62536,59.9058
Gentianella campestris,17.16827,62.10799
Gentianella campestris,14.66957,63.17826
Gentianella campestris,14.85352,59.6768
Gentianella campestris,12.67153,60.30677
Gentianella campestris,18.44951,60.12298
Gentianella campestris,18.53413,60.25089
Gentianella campestris,18.0475,60.30247
Gentianella campestris,18.50261,60.26215
Gentianella campestris,17.89254,60.22802
Gentianella campestris,18.25493,60.2358
Gentianella campestris,18.44106,60.28811
Gentianella campestris,17.92366,60.1499
Gentianella campestris,18.41144,60.42475
Gentianella campestris,14.88873,58.13327
Gentianella campestris,13.47164,57.97766
Gentianella campestris,16.71722,59.35837
Gentianella campestris,11.40359,58.39525
Gentianella campestris,15.16094,58.09065
Gentianella campestris,15.44833,57.97058
Gentianella campestris,15.15287,58.08797
Gentianella campestris,15.2246,60.96367
Gentianella campestris,16.84032,59.0283
Gentianella campestris,18.04592,59.9981
Gentianella campestris,18.47498,60.27859
Gentianella campestris,13.80347,60.77282
Gentianella campestris,13.9275,61.21663
Gentianella campestris,15.15153,60.76859
Gentianella campestris,13.95511,61.19396
Gentianella campestris,15.72414,60.14078
Gentianella campestris,13.60455,61.55033
Gentianella campestris,15.96675,60.94533
Gentianella campestris,14.98477,60.91721
Gentianella campestris,15.21788,60.66142
Gentianella campestris,14.75372,60.17764
Gentianella campestris,14.83563,60.38119
Gentianella campestris,14.84912,60.41115
Gentianella campestris,15.46695,60.62593
Gentianella campestris,15.33289,60.67741
Gentianella campestris,15.04583,58.15501
Gentianella campestris,16.34694,63.58394
Gentianella campestris,16.56475,59.90275
Gentianella campestris,12.33075,59.61941
Gentianella campestris,16.40098,58.81282
Gentianella campestris,15.81109,58.33059
Gentianella campestris,17.77125,62.57149
Gentianella campestris,13.7798,62.96909
Gentianella campestris,16.70483,58.3832
Gentianella campestris,12.38909,57.2729
Gentianella campestris,15.54659,62.72319
Gentianella campestris,17.96355,59.69574
Gentianella campestris,15.56372,57.56817
Gentianella campestris,14.40406,62.60696
Gentianella campestris,14.4368,63.60822
Gentianella campestris,15.69023,57.30151
Gentianella campestris,17.46985,58.76041
Gentianella campestris,16.6613,60.42352
Gentianella campestris,17.3525,60.60549
Gentianella campestris,13.282086,65.713195
Gentianella campestris,13.254606,65.820122
Gentianella campestris,13.281367,65.704688
Gentianella campestris,18.0134,59.65177
Gentianella campestris,18.05397,60.49435
Gentianella campestris,16.592521,68.826605
Gentianella campestris,16.578274,68.826559
Gentianella campestris,16.509409,68.447429
Gentianella campestris,16.582208,68.833709
Gentianella campestris,16.549528,68.832071
Gentianella campestris,18.1048,60.2361
Gentianella campestris,12.134766,63.599345
Gentianella campestris,13.361434,66.834471
Gentianella campestris,13.531638,68.19793
Gentianella campestris,14.435891,67.225616
Gentianella campestris,14.763677,67.304895
Gentianella campestris,11.694188,63.754269
Gentianella campestris,12.14675,63.660098
Gentianella campestris,13.378304,66.82235
Gentianella campestris,14.671743,67.301883
Gentianella campestris,13.802605,66.890757
Gentianella campestris,13.790882,66.892714
Gentianella campestris,14.70844,67.248365
Gentianella campestris,11.57658,63.728264
Gentianella campestris,17.71131,59.50261
Gentianella campestris,14.635748,67.200827
Gentianella campestris,14.637985,67.426162
Gentianella campestris,14.692566,67.063123
Gentianella campestris,14.494218,67.291052
Gentianella campestris,14.670827,67.038412
Gentianella campestris,14.680448,67.057896
Gentianella campestris,14.653148,67.037746
Gentianella campestris,14.695567,67.044022
Gentianella campestris,14.655313,67.04735
Gentianella campestris,14.710793,67.019653
Gentianella campestris,17.6967,59.08508
Gentianella campestris,12.46024,59.07533
Gentianella campestris,14.47048,57.68634
Gentianella campestris,14.93066,57.78356
Gentianella campestris,14.5691,67.36644
Gentianella campestris,14.53618,67.27718
Gentianella campestris,11.17306,64.63625
Gentianella campestris,15.07082,60.35659
Gentianella campestris,10.971842,62.282417
Gentianella campestris,16.17003,61.13165
Gentianella campestris,17.91207,59.64038
Gentianella campestris,14.81183,63.10815
Gentianella campestris,13.6058,58.13727
Gentianella campestris,13.47763,57.98954
Gentianella campestris,11.69597,57.99418
Gentianella campestris,17.92438,59.66796
Gentianella campestris,17.36987,60.00391
Gentianella campestris,18.23118,60.29734
Gentianella campestris,18.08863,60.23721
Gentianella campestris,17.3073,60.03737
Gentianella campestris,13.72109,63.34925
Gentianella campestris,18.74258,59.98031
Gentianella campestris,16.10639,61.10782
Gentianella campestris,15.22104,61.68555
Gentianella campestris,16.52723,61.58095
Gentianella campestris,15.79413,62.26361
Gentianella campestris,16.65769,59.34747
Gentianella campestris,16.73724,59.33166
Gentianella campestris,18.43447,62.87796
Gentianella campestris,16.11457,63.6478
Gentianella campestris,18.44681,62.87831
Gentianella campestris,16.79169,59.09115
Gentianella campestris,16.92342,59.11563
Gentianella campestris,11.90589,57.44339
Gentianella campestris,14.7256,63.38779
Gentianella campestris,14.58688,63.33816
Gentianella campestris,14.69139,63.80378
Gentianella campestris,14.74773,63.29298
Gentianella campestris,14.71582,63.01573
Gentianella campestris,14.85363,63.07965
Gentianella campestris,14.62567,63.36522
Gentianella campestris,14.71247,63.80165
Gentianella campestris,14.90042,63.07479
Gentianella campestris,14.36296,62.66499
Gentianella campestris,14.79355,63.09748
Gentianella campestris,14.47192,63.22728
Gentianella campestris,14.70116,63.80555
Gentianella campestris,15.32999,57.62159
Gentianella campestris,16.16473,59.94258
Gentianella campestris,15.3636,58.28457
Gentianella campestris,14.65376,61.0766
Gentianella campestris,15.18107,60.33437
Gentianella campestris,14.32062,59.77469
Gentianella campestris,16.10014,57.39189
Gentianella campestris,15.69414,57.82261
Gentianella campestris,16.13256,59.83622
Gentianella campestris,15.49468,62.79327
Gentianella campestris,18.25184,60.2274
Gentianella campestris,18.42945,60.22882
Gentianella campestris,18.43747,59.99313
Gentianella campestris,18.00056,60.46852
Gentianella campestris,18.00769,60.5456
Gentianella campestris,14.27659,63.66882
Gentianella campestris,15.76339,58.63491
Gentianella campestris,14.25278,57.432
Gentianella campestris,14.14259,57.53266
Gentianella campestris,14.65335,58.03122
Gentianella campestris,11.36754,58.43291
Gentianella campestris,16.59302,62.65218
Gentianella campestris,15.57258,58.13754
Gentianella campestris,15.54359,57.96348
Gentianella campestris,15.52582,62.72746
Gentianella campestris,16.42162,58.85523
Gentianella campestris,16.90611,59.18739
Gentianella campestris,13.94121,58.03266
Gentianella campestris,13.85764,57.55968
Gentianella campestris,12.81766,59.88454
Gentianella campestris,17.53134,60.53641
Gentianella campestris,17.72146,62.61126
Gentianella campestris,12.54134,60.14922
Gentianella campestris,12.63233,60.44749
Gentianella campestris,12.76258,59.92011
Gentianella campestris,14.64089,63.10024
Gentianella campestris,15.83349,60.04988
Gentianella campestris,12.76406,59.93806
Gentianella campestris,14.07247,59.38016
Gentianella campestris,13.27073,57.38797
Gentianella campestris,13.24203,66.662104
Gentianella campestris,13.224728,66.7218
Gentianella campestris,13.212367,66.516969
Gentianella campestris,13.247473,66.719446
Gentianella campestris,17.38033,59.98896
