species,decimalLongitude,decimalLatitude
Gentianella campestris,19.1522,69.7433
Gentianella campestris,9.058641,62.707484
Gentianella campestris,10.162585,63.438738
Gentianella campestris,6.442259,59.216857
Gentianella campestris,9.68205,62.616079
Gentianella campestris,8.903029,62.474092
Gentianella campestris,9.543189,62.482045
Gentianella campestris,10.088907,62.55067
Gentianella campestris,10.410675,62.116865
Gentianella campestris,11.673805,63.732777
Gentianella campestris,10.44618,64.288866
Gentianella campestris,11.549993,63.708082
Gentianella campestris,13.78009,58.46274
Gentianella campestris,12.48201,59.04869
Gentianella campestris,16.42761,58.58834
Gentianella campestris,18.40703,60.43427
Gentianella campestris,17.15579,60.64754
Gentianella campestris,17.40369,58.79458
Gentianella campestris,15.69313,58.32244
Gentianella campestris,15.78077,58.60342
Gentianella campestris,17.2844,60.63633
Gentianella campestris,15.78077,58.34637
Gentianella campestris,16.02299,58.63769
Gentianella campestris,12.09248,59.73579
Gentianella campestris,15.80948,58.59837
Gentianella campestris,17.44698,58.7984
Gentianella campestris,16.76336,58.52471
Gentianella campestris,16.52808,58.37515
Gentianella campestris,15.54243,58.07685
Gentianella campestris,15.77964,58.76078
Gentianella campestris,15.12087,58.9097
Gentianella campestris,17.80482,62.5409
Gentianella campestris,13.5949,58.53135
Gentianella campestris,16.28059,58.18047
Gentianella campestris,15.55845,58.08804
Gentianella campestris,15.49457,57.92649
Gentianella campestris,16.34092,61.04638
Gentianella campestris,17.45748,58.91305
Gentianella campestris,10.929218,63.288739
Gentianella campestris,9.623804,62.294781
Gentianella campestris,17.275232,68.767171
Gentianella campestris,9.58056,62.63639
Gentianella campestris,14.65944,58.11972
Gentianella campestris,15.01786,59.23206
Gentianella campestris,17.29289,60.59007
Gentianella campestris,16.35624,58.41769
Gentianella campestris,16.42727,60.53329
Gentianella campestris,15.28485,58.7815
Gentianella campestris,14.95961,58.65873
Gentianella campestris,14.99534,59.36878
Gentianella campestris,15.35741,59.38717
Gentianella campestris,12.89684,59.95997
Gentianella campestris,16.2674,58.42038
Gentianella campestris,15.29644,59.34566
Gentianella campestris,16.25339,60.87619
Gentianella campestris,16.79993,60.98634
Gentianella campestris,15.52776,58.91242
Gentianella campestris,14.60655,63.25704
Gentianella campestris,14.90337,58.17888
Gentianella campestris,15.11707,61.74566
Gentianella campestris,17.35594,60.60394
Gentianella campestris,16.29132,58.17121
Gentianella campestris,12.47584,59.44558
Gentianella campestris,14.96644,58.96843
Gentianella campestris,12.43086,62.72768
Gentianella campestris,14.59656,62.83313
Gentianella campestris,17.33517,60.5803
Gentianella campestris,16.73608,58.17295
Gentianella campestris,15.39395,62.2699
Gentianella campestris,16.19056,59.01478
Gentianella campestris,7.055979,60.616092
Gentianella campestris,12.109891,58.181538
Gentianella campestris,16.45676,60.40138
Gentianella campestris,16.48714,60.48344
Gentianella campestris,16.41995,60.48916
Gentianella campestris,16.46823,60.4839
Gentianella campestris,16.41137,60.49718
Gentianella campestris,16.5663,60.47763
Gentianella campestris,16.35697,60.50828
Gentianella campestris,16.34866,60.55588
Gentianella campestris,16.43914,60.54058
Gentianella campestris,16.34313,60.57385
Gentianella campestris,18.97421,59.76268
Gentianella campestris,17.32192,58.89212
Gentianella campestris,17.29534,60.87317
Gentianella campestris,17.27706,60.87607
Gentianella campestris,13.38572,55.69793
Gentianella campestris,17.36794,58.83312
Gentianella campestris,17.13676,60.55709
Gentianella campestris,16.65561,60.42279
Gentianella campestris,16.78476,60.37075
Gentianella campestris,17.03637,60.50599
Gentianella campestris,16.6039,60.31271
Gentianella campestris,11.3406,58.43651
Gentianella campestris,8.603022,61.079646
Gentianella campestris,8.882802,61.936227
Gentianella campestris,8.776118,61.931016
Gentianella campestris,11.74571,57.73651
Gentianella campestris,15.39889,58.80469
Gentianella campestris,15.56605,58.85804
Gentianella campestris,13.0576,63.41589
Gentianella campestris,12.28988,59.10121
Gentianella campestris,16.97511,60.89314
Gentianella campestris,12.32057,58.91579
Gentianella campestris,12.40246,58.9239
Gentianella campestris,15.56288,58.19638
Gentianella campestris,11.83697,57.79145
Gentianella campestris,11.58557,57.97641
Gentianella campestris,11.36762,58.43296
Gentianella campestris,11.2172,58.83502
Gentianella campestris,10.671,63.434
Gentianella campestris,8.43794,61.70525
Gentianella campestris,9.51846,62.53672
Gentianella campestris,9.99101,62.15349
Gentianella campestris,7.64223,61.02791
Gentianella campestris,16.90447,59.19373
Gentianella campestris,11.25291,58.40141
Gentianella campestris,11.69235,57.98513
Gentianella campestris,11.10073,58.96335
Gentianella campestris,18.72508,59.86703
Gentianella campestris,18.88778,59.89809
Gentianella campestris,12.48696,59.29521
Gentianella campestris,12.83479,59.83283
Gentianella campestris,13.27979,57.39249
Gentianella campestris,13.75658,58.10364
Gentianella campestris,15.68443,58.94807
Gentianella campestris,14.13434,63.42347
Gentianella campestris,14.5234,58.60993
Gentianella campestris,13.24084,63.33386
Gentianella campestris,17.25148,60.63579
Gentianella campestris,17.15838,60.53216
Gentianella campestris,17.21856,60.63524
Gentianella campestris,17.08176,60.51278
Gentianella campestris,17.12498,60.53656
Gentianella campestris,16.99556,60.94217
Gentianella campestris,17.26644,60.75225
Gentianella campestris,14.28022,63.67758
Gentianella campestris,17.08147,60.29528
Gentianella campestris,8.821678,61.512544
Gentianella campestris,7.235184,60.379424
Gentianella campestris,14.97284,57.66657
Gentianella campestris,15.18733,59.72694
Gentianella campestris,13.47164,57.97766
Gentianella campestris,14.48936,59.69003
Gentianella campestris,14.7673,60.01721
Gentianella campestris,14.76459,60.00298
Gentianella campestris,14.25412,62.11183
Gentianella campestris,23.08,69.934
Gentianella campestris,15.85876,62.26359
Gentianella campestris,15.22095,61.68534
Gentianella campestris,15.22679,61.65796
Gentianella campestris,16.68206,61.60191
Gentianella campestris,15.41472,62.30137
Gentianella campestris,15.72311,62.28489
Gentianella campestris,15.27787,58.03227
Gentianella campestris,16.73786,62.14203
Gentianella campestris,16.28479,62.22567
Gentianella campestris,16.15942,61.03531
Gentianella campestris,16.61673,62.17939
Gentianella campestris,16.25807,62.23456
Gentianella campestris,16.35772,61.06516
Gentianella campestris,16.40511,58.58327
Gentianella campestris,16.47037,61.23426
Gentianella campestris,16.55773,62.06838
Gentianella campestris,16.60616,62.18902
Gentianella campestris,16.51033,62.17367
Gentianella campestris,16.55398,62.15723
Gentianella campestris,16.52729,62.16894
Gentianella campestris,17.16827,62.10799
Gentianella campestris,16.59897,62.14609
Gentianella campestris,16.01216,61.57041
Gentianella campestris,16.2857,61.06633
Gentianella campestris,16.02372,61.11109
Gentianella campestris,15.45562,61.70045
Gentianella campestris,16.50058,62.19583
Gentianella campestris,16.10239,61.10879
Gentianella campestris,16.57069,62.05126
Gentianella campestris,15.44705,61.68949
Gentianella campestris,16.36458,62.20193
Gentianella campestris,15.60631,61.8962
Gentianella campestris,16.93703,62.15417
Gentianella campestris,16.4824,61.72917
Gentianella campestris,15.43788,61.66703
Gentianella campestris,16.59116,62.06087
Gentianella campestris,15.96039,61.31511
Gentianella campestris,17.98082,60.47244
Gentianella campestris,16.45919,62.09111
Gentianella campestris,15.85077,61.29933
Gentianella campestris,12.10191,57.24968
Gentianella campestris,18.40367,60.20198
Gentianella campestris,17.01559,62.10462
Gentianella campestris,15.87564,61.14299
Gentianella campestris,20.95,69.92
Gentianella campestris,10.40957,63.427083
Gentianella campestris,12.50918,59.1622
Gentianella campestris,17.48769,59.38021
Gentianella campestris,12.63772,59.47124
Gentianella campestris,16.404827,68.088531
Gentianella campestris,16.22501,58.65071
Gentianella campestris,14.645827,66.98857
Gentianella campestris,14.424141,67.027844
Gentianella campestris,14.363495,66.932072
Gentianella campestris,14.367825,66.89755
Gentianella campestris,14.324329,66.926081
Gentianella campestris,20.9,69.933333
Gentianella campestris,10.677726,60.696027
Gentianella campestris,7.476049,61.507811
Gentianella campestris,14.51355,67.34408
Gentianella campestris,8.113242,61.680785
Gentianella campestris,8.136266,61.688655
Gentianella campestris,7.707374,61.553476
Gentianella campestris,9.596553,62.239464
Gentianella campestris,11.248533,64.827274
Gentianella campestris,11.710727,65.104202
Gentianella campestris,8.035183,62.271425
Gentianella campestris,14.0916,66.714063
Gentianella campestris,9.607302,63.799289
Gentianella campestris,13.640816,66.665957
Gentianella campestris,9.619666,62.427868
Gentianella campestris,10.772782,64.868716
Gentianella campestris,11.883253,65.12343
Gentianella campestris,9.812861,63.888026
Gentianella campestris,9.578515,62.302376
Gentianella campestris,10.778024,64.974476
Gentianella campestris,10.903793,64.954973
Gentianella campestris,10.861475,64.955507
Gentianella campestris,9.606338,63.75442
Gentianella campestris,10.77515,64.904591
Gentianella campestris,8.512989,62.507304
Gentianella campestris,10.684828,64.474809
Gentianella campestris,9.132279,62.050312
Gentianella campestris,9.658985,62.454617
Gentianella campestris,9.713216,63.278559
Gentianella campestris,10.170971,62.163988
Gentianella campestris,9.428898,62.740869
Gentianella campestris,9.264276,61.834681
Gentianella campestris,9.404057,63.782052
Gentianella campestris,17.278329,68.315679
Gentianella campestris,15.711841,67.811311
Gentianella campestris,9.643079,62.616263
Gentianella campestris,9.901735,62.148048
Gentianella campestris,11.519418,62.925478
Gentianella campestris,10.577775,64.422143
Gentianella campestris,9.311993,62.635343
Gentianella campestris,8.355062,61.725696
Gentianella campestris,11.306407,64.813818
Gentianella campestris,10.821039,64.957891
Gentianella campestris,9.678162,62.445549
Gentianella campestris,9.52722,62.767461
Gentianella campestris,10.75755,60.036632
Gentianella campestris,11.261867,64.680648
Gentianella campestris,11.204601,64.728284
Gentianella campestris,21.232502,69.846766
Gentianella campestris,10.673895,63.297135
Gentianella campestris,12.702314,65.802307
Gentianella campestris,8.843955,62.64458
Gentianella campestris,9.967092,62.441969
Gentianella campestris,10.797994,64.956286
Gentianella campestris,11.199503,64.665518
Gentianella campestris,13.696442,66.469032
Gentianella campestris,9.312833,63.636076
Gentianella campestris,9.409612,62.644068
